website,date,year,month,device,channel_group,active_users,new_users,sessions,sessions_per_user,screen_page_views,engaged_sessions,user_engagement_duration,average_session_duration,engagement_rate,new_users_ratio
WEB_01,01/02/2024,2024,2,desktop,Referral,150,118,408,2.72,524,268,165053,618.2736303,0.656862745,0.786666667
WEB_01,01/02/2024,2024,2,tablet,Organic Search,124,122,140,1.129032258,0,102,77515,427.653454,0.728571429,0.983870968
WEB_01,01/02/2024,2024,2,mobile,Organic Social,114,114,120,1.052631579,0,20,2390,593.3868421,0.166666667,1
WEB_01,01/02/2024,2024,2,mobile,Referral,42,40,60,1.428571429,0,42,18547,270.1055203,0.7,0.952380952
WEB_01,01/02/2024,2024,2,desktop,Organic Social,36,34,42,1.166666667,0,30,10066,564.0317034,0.714285714,0.944444444
WEB_01,01/02/2024,2024,2,desktop,Unassigned,8,8,8,1,0,4,605,376.4968195,0.5,1
WEB_01,01/02/2024,2024,2,tablet,Direct,4,4,4,1,0,2,72,285.3492823,0.5,1
WEB_01,01/02/2024,2024,2,tablet,Referral,4,4,4,1,0,4,1339,393.9485152,1,1
WEB_01,01/02/2024,2024,2,mobile,Unassigned,2,2,2,1,0,1,950,344.0808388,0.5,1
WEB_01,01/03/2024,2024,3,desktop,Organic Search,3520,3310,4336,1.231818182,182,2814,1785442,319.356554,0.64898524,0.940340909
WEB_01,01/03/2024,2024,3,desktop,Direct,2144,2124,2206,1.02891791,2,366,142402,254.980912,0.165911151,0.990671642
WEB_01,01/03/2024,2024,3,mobile,Organic Search,2012,1974,2172,1.079522863,6,1526,1013429,301.217434,0.702578269,0.98111332
WEB_01,01/03/2024,2024,3,mobile,Direct,228,224,258,1.131578947,2,84,51739,417.3771902,0.325581395,0.98245614
WEB_01,01/03/2024,2024,3,desktop,Referral,90,58,278,3.088888889,416,202,110448,369.3351476,0.726618705,0.644444444
WEB_01,01/03/2024,2024,3,tablet,Organic Search,82,82,86,1.048780488,0,74,44626,331.7497353,0.860465116,1
WEB_01,01/03/2024,2024,3,mobile,Organic Social,62,62,66,1.064516129,0,8,792,355.35773,0.121212121,1
WEB_01,01/03/2024,2024,3,desktop,Organic Social,38,34,46,1.210526316,0,32,11779,446.1655151,0.695652174,0.894736842
WEB_01,01/03/2024,2024,3,mobile,Referral,28,24,48,1.714285714,0,30,23069,379.1264507,0.625,0.857142857
WEB_01,01/03/2024,2024,3,mobile,Unassigned,14,14,14,1,0,7,2002,321.5723258,0.5,1
WEB_01,01/03/2024,2024,3,desktop,Unassigned,10,10,10,1,0,5,1526,520.4704914,0.5,1
WEB_01,01/03/2024,2024,3,tablet,Direct,4,4,6,1.5,8,4,1397,340.440953,0.666666667,1
WEB_01,01/04/2024,2024,4,desktop,Organic Search,3246,3036,4164,1.282809612,152,2550,1381824,265.2401181,0.612391931,0.935304991
WEB_01,01/04/2024,2024,4,mobile,Organic Search,2010,1982,2230,1.109452736,18,1524,1045195,622.4293417,0.683408072,0.986069652
WEB_01,01/04/2024,2024,4,desktop,Direct,1470,1438,1618,1.100680272,26,390,155362,302.7323497,0.241038319,0.978231293
WEB_01,01/04/2024,2024,4,mobile,Direct,144,144,152,1.055555556,2,52,43258,254.885413,0.342105263,1
WEB_01,01/04/2024,2024,4,mobile,Organic Social,86,86,88,1.023255814,0,12,1843,418.3262382,0.136363636,1
WEB_01,01/04/2024,2024,4,tablet,Organic Search,86,86,92,1.069767442,0,78,56635,366.9087197,0.847826087,1
WEB_01,01/04/2024,2024,4,desktop,Referral,82,60,314,3.829268293,608,248,184666,329.8610559,0.789808917,0.731707317
WEB_01,01/04/2024,2024,4,desktop,Organic Social,30,28,36,1.2,0,14,4435,324.9845061,0.388888889,0.933333333
WEB_01,01/04/2024,2024,4,mobile,Referral,14,12,50,3.571428571,6,34,11938,476.7470247,0.68,0.857142857
WEB_01,01/04/2024,2024,4,desktop,Unassigned,8,8,14,1.75,0,7,821,378.6713864,0.5,1
WEB_01,01/04/2024,2024,4,mobile,Unassigned,4,4,4,1,0,2,562,581.1288243,0.5,1
WEB_01,01/04/2024,2024,4,tablet,Direct,4,4,4,1,0,2,1123,290.8004605,0.5,1
WEB_01,01/04/2024,2024,4,tablet,Referral,2,2,2,1,0,1,216,264.073931,0.5,1
WEB_01,01/05/2024,2024,5,desktop,Organic Search,2796,2646,3468,1.240343348,48,2118,1332245,387.5433154,0.610726644,0.946351931
WEB_01,01/05/2024,2024,5,mobile,Organic Search,1932,1908,2106,1.090062112,48,1452,1022947,282.4706464,0.689458689,0.98757764
WEB_01,01/05/2024,2024,5,desktop,Direct,1512,1484,1630,1.078042328,12,346,111038,253.8214153,0.212269939,0.981481481
WEB_01,01/05/2024,2024,5,mobile,Direct,146,142,160,1.095890411,2,52,27792,259.292257,0.325,0.97260274
WEB_01,01/05/2024,2024,5,tablet,Organic Search,76,74,82,1.078947368,0,66,40464,390.8904377,0.804878049,0.973684211
WEB_01,01/05/2024,2024,5,desktop,Referral,72,54,328,4.555555556,636,232,168624,376.7862903,0.707317073,0.75
WEB_01,01/05/2024,2024,5,mobile,Organic Social,10,10,10,1,0,4,1080,396.8600687,0.4,1
WEB_01,01/05/2024,2024,5,tablet,Direct,10,10,10,1,0,5,1080,335.8843801,0.5,1
WEB_01,01/05/2024,2024,5,desktop,Unassigned,8,8,8,1,0,4,3082,488.2204933,0.5,1
WEB_01,01/05/2024,2024,5,mobile,Referral,8,6,30,3.75,0,20,5688,342.6150727,0.666666667,0.75
WEB_01,01/05/2024,2024,5,mobile,Unassigned,6,6,6,1,0,3,3010,272.8157869,0.5,1
WEB_01,01/05/2024,2024,5,desktop,Organic Social,4,4,4,1,0,2,547,308.6828539,0.5,1
WEB_01,01/06/2024,2024,6,desktop,Organic Search,2090,1988,2510,1.200956938,24,1524,958478,293.0798399,0.607171315,0.951196172
WEB_01,01/06/2024,2024,6,mobile,Organic Search,1554,1534,1684,1.083655084,8,1080,697694,285.8088659,0.641330166,0.987129987
WEB_01,01/06/2024,2024,6,desktop,Direct,1524,1492,1616,1.060367454,4,312,124157,338.8276997,0.193069307,0.979002625
WEB_01,01/06/2024,2024,6,mobile,Direct,108,106,118,1.092592593,0,36,21067,254.8355335,0.305084746,0.981481481
WEB_01,01/06/2024,2024,6,desktop,Referral,76,54,282,3.710526316,562,198,115661,291.130498,0.70212766,0.710526316
WEB_01,01/06/2024,2024,6,tablet,Organic Search,60,60,62,1.033333333,0,42,27821,392.898355,0.677419355,1
WEB_01,01/06/2024,2024,6,mobile,Referral,10,8,34,3.4,2,30,12499,265.993255,0.882352941,0.8
WEB_01,01/06/2024,2024,6,tablet,Direct,8,8,8,1,0,4,590,406.6175843,0.5,1
WEB_01,01/06/2024,2024,6,mobile,Organic Social,6,6,6,1,0,3,648,353.782126,0.5,1
WEB_01,01/06/2024,2024,6,mobile,Unassigned,2,2,2,1,0,1,216,310.671774,0.5,1
WEB_01,01/07/2024,2024,7,desktop,Organic Search,1736,1640,2024,1.165898618,18,1294,857131,417.5459171,0.639328063,0.944700461
WEB_01,01/07/2024,2024,7,mobile,Organic Search,1610,1594,1772,1.100621118,12,1020,622195,333.4439584,0.575620767,0.990062112
WEB_01,01/07/2024,2024,7,desktop,Direct,1492,1464,1572,1.053619303,28,350,156125,361.293756,0.22264631,0.981233244
WEB_01,01/07/2024,2024,7,mobile,Referral,848,846,854,1.007075472,1664,846,166464,280.7872073,0.990632319,0.997641509
WEB_01,01/07/2024,2024,7,desktop,Referral,238,208,392,1.647058824,460,302,80654,313.1276815,0.770408163,0.87394958
WEB_01,01/07/2024,2024,7,mobile,Direct,106,104,124,1.169811321,4,38,27144,268.2070552,0.306451613,0.981132075
WEB_01,01/07/2024,2024,7,tablet,Organic Search,46,46,48,1.043478261,0,36,15149,253.3001967,0.75,1
WEB_01,01/07/2024,2024,7,tablet,Referral,12,12,12,1,24,12,2304,293.0124329,1,1
WEB_01,01/07/2024,2024,7,desktop,Unassigned,8,8,10,1.25,0,5,1267,262.0548038,0.5,1
WEB_01,01/07/2024,2024,7,mobile,Organic Social,4,4,4,1,0,2,432,265.352299,0.5,1
WEB_01,01/08/2024,2024,8,desktop,Organic Search,1646,1570,2038,1.238153098,4,1222,832896,428.6510916,0.599607458,0.953827461
WEB_01,01/08/2024,2024,8,mobile,Organic Search,1532,1500,1648,1.075718016,10,964,589478,350.8535121,0.584951456,0.979112272
WEB_01,01/08/2024,2024,8,desktop,Direct,1472,1438,1568,1.065217391,0,312,138917,308.5017855,0.198979592,0.976902174
WEB_01,01/08/2024,2024,8,mobile,Direct,130,128,154,1.184615385,0,40,18763,382.6793834,0.25974026,0.984615385
WEB_01,01/08/2024,2024,8,tablet,Organic Search,62,60,64,1.032258065,0,38,37886,476.2016678,0.59375,0.967741935
WEB_01,01/08/2024,2024,8,desktop,Referral,46,32,198,4.304347826,108,136,51509,344.8078018,0.686868687,0.695652174
WEB_01,01/08/2024,2024,8,mobile,Organic Social,16,16,16,1,0,8,677,291.5887819,0.5,1
WEB_01,01/08/2024,2024,8,mobile,Referral,16,14,32,2,2,22,6235,342.5695491,0.6875,0.875
WEB_01,01/08/2024,2024,8,desktop,Organic Social,8,8,8,1,0,6,130,413.9219231,0.75,1
WEB_01,01/08/2024,2024,8,desktop,Unassigned,6,6,6,1,0,3,72,465.0989494,0.5,1
WEB_01,01/08/2024,2024,8,tablet,Direct,2,2,2,1,0,2,1152,787.4839218,1,1
WEB_01,01/09/2024,2024,9,desktop,Organic Search,2024,1926,2380,1.175889328,24,1530,988646,257.2866108,0.642857143,0.951581028
WEB_01,01/09/2024,2024,9,mobile,Organic Search,2018,2006,2216,1.098116947,4,1318,922680,273.381638,0.594765343,0.994053518
WEB_01,01/09/2024,2024,9,desktop,Direct,1184,1160,1298,1.096283784,18,174,70286,255.7437648,0.134052388,0.97972973
WEB_01,01/09/2024,2024,9,mobile,Direct,122,120,156,1.278688525,0,56,26942,255.150614,0.358974359,0.983606557
WEB_01,01/09/2024,2024,9,desktop,Referral,88,58,258,2.931818182,144,156,79128,299.225422,0.604651163,0.659090909
WEB_01,01/09/2024,2024,9,tablet,Organic Search,66,66,78,1.181818182,0,38,33278,404.1339473,0.487179487,1
WEB_01,01/09/2024,2024,9,mobile,Referral,44,42,46,1.045454545,0,36,10138,350.6586028,0.782608696,0.954545455
WEB_01,01/09/2024,2024,9,mobile,Organic Social,10,10,10,1,0,5,1080,312.7152839,0.5,1
WEB_01,01/09/2024,2024,9,desktop,Unassigned,6,6,6,1,0,3,475,324.447394,0.5,1
WEB_01,01/09/2024,2024,9,tablet,Direct,6,6,6,1,0,3,648,478.0664735,0.5,1
WEB_01,01/09/2024,2024,9,desktop,Organic Social,2,2,2,1,0,2,29,374.8490512,1,1
WEB_01,01/09/2024,2024,9,tablet,Referral,2,2,8,4,2,8,1526,293.5571528,1,1
WEB_01,01/10/2024,2024,10,mobile,Organic Search,2658,2626,3018,1.135440181,56,1602,1088654,339.0582144,0.530815109,0.987960873
WEB_01,01/10/2024,2024,10,desktop,Organic Search,2448,2342,2912,1.189542484,34,1870,1184285,290.3324493,0.64217033,0.956699346
WEB_01,01/10/2024,2024,10,desktop,Direct,1606,1574,1694,1.054794521,4,312,117317,368.4435878,0.184179457,0.98007472
WEB_01,01/10/2024,2024,10,desktop,Referral,242,224,504,2.082644628,254,306,233165,265.2485639,0.607142857,0.925619835
WEB_01,01/10/2024,2024,10,mobile,Referral,186,186,210,1.129032258,0,142,134568,259.3408536,0.676190476,1
WEB_01,01/10/2024,2024,10,mobile,Direct,176,170,234,1.329545455,6,42,20966,406.798253,0.179487179,0.965909091
WEB_01,01/10/2024,2024,10,tablet,Organic Search,84,84,88,1.047619048,0,42,25056,420.7206419,0.477272727,1
WEB_01,01/10/2024,2024,10,tablet,Referral,10,10,12,1.2,0,8,6091,358.8027212,0.666666667,1
WEB_01,01/10/2024,2024,10,desktop,Unassigned,6,6,8,1.333333333,0,4,662,626.3547244,0.5,1
WEB_01,01/10/2024,2024,10,mobile,Organic Social,6,6,8,1.333333333,0,2,648,354.672646,0.25,1
WEB_01,01/10/2024,2024,10,tablet,Direct,4,4,4,1,0,2,432,400.7385526,0.5,1
WEB_01,01/10/2024,2024,10,desktop,Organic Social,2,2,4,2,0,2,216,344.153003,0.5,1
WEB_01,01/10/2024,2024,10,mobile,Unassigned,1,1,2,2,0,1,108,494.7634332,0.5,1
WEB_01,01/11/2024,2024,11,mobile,Organic Search,4546,4502,5206,1.145182578,16,2620,1585051,280.8116304,0.503265463,0.990321161
WEB_01,01/11/2024,2024,11,desktop,Organic Search,3008,2894,3492,1.160904255,56,2300,1571717,276.639318,0.658648339,0.962101064
WEB_01,01/11/2024,2024,11,desktop,Direct,1290,1268,1370,1.062015504,14,246,143554,438.619393,0.179562044,0.982945736
WEB_01,01/11/2024,2024,11,mobile,Direct,252,252,300,1.19047619,2,88,54144,494.3186649,0.293333333,1
WEB_01,01/11/2024,2024,11,tablet,Organic Search,140,140,168,1.2,0,80,62957,640.483559,0.476190476,1
WEB_01,01/11/2024,2024,11,desktop,Referral,102,80,288,2.823529412,178,204,56995,412.33294,0.708333333,0.784313725
WEB_01,01/11/2024,2024,11,mobile,Organic Social,16,16,16,1,0,8,1728,338.0820006,0.5,1
WEB_01,01/11/2024,2024,11,desktop,Organic Social,14,14,20,1.428571429,0,8,331,489.2163166,0.4,1
WEB_01,01/11/2024,2024,11,mobile,Referral,12,6,34,2.833333333,2,22,5141,305.6762001,0.647058824,0.5
WEB_01,01/11/2024,2024,11,desktop,Unassigned,10,10,14,1.4,0,7,403,395.2277495,0.5,1
WEB_01,01/11/2024,2024,11,mobile,Unassigned,2,2,6,3,0,3,216,428.1536881,0.5,1
WEB_01,01/11/2024,2024,11,tablet,Direct,2,2,6,3,0,3,216,282.0115242,0.5,1
WEB_01,01/12/2024,2024,12,mobile,Organic Search,6708,6627,7684,1.145497913,142,4117,2954662,391.166047,0.535788652,0.987924866
WEB_01,01/12/2024,2024,12,desktop,Organic Search,4457,4284,5324,1.194525466,28,3284,2544672,292.7883555,0.616829452,0.961184653
WEB_01,01/12/2024,2024,12,desktop,Direct,2142,2105,2353,1.098506069,14,398,222026,299.1934318,0.169145771,0.982726424
WEB_01,01/12/2024,2024,12,mobile,Direct,343,340,411,1.198250729,8,78,58851,287.2637964,0.189781022,0.991253644
WEB_01,01/12/2024,2024,12,tablet,Organic Search,201,197,221,1.099502488,2,129,132614,254.81409,0.583710407,0.980099502
WEB_01,01/12/2024,2024,12,desktop,Referral,170,153,398,2.341176471,114,224,178114,305.226985,0.56281407,0.9
WEB_01,01/12/2024,2024,12,mobile,Organic Social,54,54,58,1.074074074,0,17,4404,423.9017524,0.293103448,1
WEB_01,01/12/2024,2024,12,mobile,Referral,24,20,85,3.541666667,0,68,24624,374.8302594,0.8,0.833333333
WEB_01,01/12/2024,2024,12,desktop,Organic Social,20,17,27,1.35,0,20,4186,320.0653977,0.740740741,0.85
WEB_01,01/12/2024,2024,12,desktop,Unassigned,10,10,10,1,0,5,602,727.9801498,0.5,1
WEB_01,01/12/2024,2024,12,mobile,Unassigned,10,3,20,2,0,10,13159,343.0399986,0.5,0.3
WEB_01,01/12/2024,2024,12,tablet,Referral,7,7,7,1,4,3,2462,378.4981198,0.428571429,1
WEB_01,01/12/2024,2024,12,tablet,Organic Social,3,3,3,1,0,3,372,268.8725405,1,1
WEB_02,01/01/2024,2024,1,desktop,Organic Search,2184,2100,2462,1.127289377,22,1794,1107043,293.2145095,0.728675873,0.961538462
WEB_02,01/01/2024,2024,1,mobile,Organic Search,2036,2008,2204,1.082514735,32,1576,941270,633.2367751,0.715063521,0.986247544
WEB_02,01/01/2024,2024,1,desktop,Direct,402,392,482,1.199004975,2,284,153245,389.920443,0.589211618,0.975124378
WEB_02,01/01/2024,2024,1,mobile,Direct,144,142,170,1.180555556,2,82,36086,421.6593723,0.482352941,0.986111111
WEB_02,01/01/2024,2024,1,tablet,Organic Search,122,116,126,1.032786885,0,96,64066,558.264275,0.761904762,0.950819672
WEB_02,01/01/2024,2024,1,desktop,Referral,82,56,254,3.097560976,738,196,24277,254.949971,0.771653543,0.682926829
WEB_02,01/01/2024,2024,1,desktop,Organic Social,8,8,10,1.25,0,6,1973,257.558583,0.6,1
WEB_02,01/01/2024,2024,1,mobile,Organic Social,8,8,8,1,0,4,864,439.957187,0.5,1
WEB_02,01/01/2024,2024,1,mobile,Referral,6,4,18,3,0,16,7114,337.8645868,0.888888889,0.666666667
WEB_02,01/01/2024,2024,1,tablet,Direct,6,4,10,1.666666667,0,8,2174,308.8402834,0.8,0.666666667
WEB_02,01/01/2024,2024,1,desktop,Unassigned,4,4,4,1,0,2,1166,1046.147344,0.5,1
WEB_02,01/01/2024,2024,1,tablet,Referral,2,2,6,3,0,4,1094,261.3913265,0.666666667,1
WEB_02,01/02/2024,2024,2,desktop,Organic Search,2212,2112,2528,1.142857143,78,1778,1086754,303.7613973,0.703322785,0.954792043
WEB_02,01/02/2024,2024,2,mobile,Organic Search,2084,2046,2276,1.092130518,24,1614,1002168,317.8498803,0.70913884,0.981765835
WEB_02,01/02/2024,2024,2,desktop,Direct,330,322,372,1.127272727,4,226,121997,921.7114307,0.607526882,0.975757576
WEB_02,01/02/2024,2024,2,mobile,Direct,142,140,172,1.211267606,10,90,34776,302.5403647,0.523255814,0.985915493
WEB_02,01/02/2024,2024,2,tablet,Organic Search,108,106,110,1.018518519,0,86,64253,252.9112803,0.781818182,0.981481481
WEB_02,01/02/2024,2024,2,desktop,Referral,70,40,290,4.142857143,818,212,195984,533.3087899,0.731034483,0.571428571
WEB_02,01/02/2024,2024,2,mobile,Referral,10,10,10,1,0,4,360,262.5618537,0.4,1
WEB_02,01/02/2024,2024,2,tablet,Direct,10,10,10,1,6,6,2088,259.03976,0.6,1
WEB_02,01/02/2024,2024,2,desktop,Unassigned,4,4,4,1,0,2,432,377.319041,0.5,1
WEB_02,01/02/2024,2024,2,desktop,Organic Social,2,2,2,1,0,2,1224,503.9328074,1,1
WEB_02,01/02/2024,2024,2,tablet,Referral,2,2,8,4,0,8,3744,519.0528382,1,1
WEB_02,01/03/2024,2024,3,mobile,Organic Search,2604,2556,2826,1.085253456,20,2048,1153253,355.3138846,0.724699222,0.98156682
WEB_02,01/03/2024,2024,3,desktop,Organic Search,2494,2394,2824,1.132317562,44,1978,1090296,404.2729917,0.700424929,0.959903769
WEB_02,01/03/2024,2024,3,desktop,Direct,402,388,448,1.114427861,38,218,116467,380.0858778,0.486607143,0.965174129
WEB_02,01/03/2024,2024,3,mobile,Direct,134,128,152,1.134328358,10,74,29304,369.1201622,0.486842105,0.955223881
WEB_02,01/03/2024,2024,3,tablet,Organic Search,90,90,100,1.111111111,0,82,39326,396.8485554,0.82,1
WEB_02,01/03/2024,2024,3,desktop,Referral,78,46,222,2.846153846,400,172,85399,352.3069869,0.774774775,0.58974359
WEB_02,01/03/2024,2024,3,mobile,Organic Social,54,54,54,1,0,10,7704,1794.776697,0.185185185,1
WEB_02,01/03/2024,2024,3,desktop,Organic Social,22,22,28,1.272727273,0,18,10030,530.4832627,0.642857143,1
WEB_02,01/03/2024,2024,3,mobile,Referral,16,14,20,1.25,8,14,10858,349.1344196,0.7,0.875
WEB_02,01/03/2024,2024,3,mobile,Unassigned,10,10,10,1,0,5,1339,355.4803492,0.5,1
WEB_02,01/03/2024,2024,3,tablet,Direct,8,8,8,1,0,6,2160,316.1943998,0.75,1
WEB_02,01/03/2024,2024,3,tablet,Referral,6,4,10,1.666666667,2,8,2707,433.8086924,0.8,0.666666667
WEB_02,01/03/2024,2024,3,desktop,Unassigned,2,2,2,1,0,1,446,517.3718635,0.5,1
WEB_02,01/03/2024,2024,3,tablet,Unassigned,2,2,2,1,0,1,533,517.0649133,0.5,1
WEB_02,01/04/2024,2024,4,mobile,Organic Search,2626,2578,2932,1.116527037,44,2034,1112990,326.6678822,0.69372442,0.981721249
WEB_02,01/04/2024,2024,4,desktop,Organic Search,2610,2518,2926,1.121072797,14,2088,1349942,371.5239833,0.713602187,0.964750958
WEB_02,01/04/2024,2024,4,desktop,Direct,436,418,510,1.169724771,44,230,155506,509.1887086,0.450980392,0.958715596
WEB_02,01/04/2024,2024,4,mobile,Direct,170,164,192,1.129411765,16,80,58464,377.214454,0.416666667,0.964705882
WEB_02,01/04/2024,2024,4,tablet,Organic Search,124,120,140,1.129032258,0,114,90979,330.8534926,0.814285714,0.967741935
WEB_02,01/04/2024,2024,4,desktop,Referral,64,48,214,3.34375,472,156,111067,399.4346499,0.728971963,0.75
WEB_02,01/04/2024,2024,4,mobile,Referral,18,18,52,2.888888889,6,38,15854,511.1319067,0.730769231,1
WEB_02,01/04/2024,2024,4,mobile,Organic Social,10,10,10,1,0,5,1080,336.4275405,0.5,1
WEB_02,01/04/2024,2024,4,desktop,Organic Social,8,8,8,1,0,6,5976,299.5697259,0.75,1
WEB_02,01/04/2024,2024,4,tablet,Direct,6,6,6,1,0,2,331,441.4451889,0.333333333,1
WEB_02,01/04/2024,2024,4,tablet,Referral,6,4,28,4.666666667,0,18,5789,364.8960184,0.642857143,0.666666667
WEB_02,01/04/2024,2024,4,desktop,Unassigned,4,4,4,1,0,2,1872,266.2298522,0.5,1
WEB_02,01/04/2024,2024,4,mobile,Unassigned,4,4,4,1,0,2,2880,380.5937425,0.5,1
WEB_02,01/05/2024,2024,5,mobile,Organic Search,2526,2486,2748,1.087885986,30,1946,1141646,471.9958585,0.708151383,0.984164687
WEB_02,01/05/2024,2024,5,desktop,Organic Search,2232,2140,2518,1.128136201,56,1736,1038182,462.9374878,0.68943606,0.958781362
WEB_02,01/05/2024,2024,5,desktop,Direct,418,402,458,1.09569378,12,254,98640,358.6215853,0.554585153,0.961722488
WEB_02,01/05/2024,2024,5,mobile,Direct,180,174,208,1.155555556,0,94,55224,335.9998165,0.451923077,0.966666667
WEB_02,01/05/2024,2024,5,desktop,Referral,116,98,286,2.465517241,520,190,184435,416.8307774,0.664335664,0.844827586
WEB_02,01/05/2024,2024,5,tablet,Organic Search,104,102,116,1.115384615,0,78,47952,381.053387,0.672413793,0.980769231
WEB_02,01/05/2024,2024,5,mobile,Organic Social,66,66,72,1.090909091,0,14,4867,307.7768098,0.194444444,1
WEB_02,01/05/2024,2024,5,mobile,Referral,20,18,42,2.1,0,32,10426,445.9777968,0.761904762,0.9
WEB_02,01/05/2024,2024,5,desktop,Organic Social,8,8,8,1,0,2,3240,286.1722392,0.25,1
WEB_02,01/05/2024,2024,5,mobile,Unassigned,4,4,4,1,2,2,1411,372.3793048,0.5,1
WEB_02,01/05/2024,2024,5,tablet,Referral,4,2,12,3,0,6,3139,5482.117383,0.5,0.5
WEB_02,01/05/2024,2024,5,desktop,Unassigned,2,2,2,1,0,1,245,290.355678,0.5,1
WEB_02,01/05/2024,2024,5,tablet,Direct,2,2,2,1,0,2,331,470.0616446,1,1
WEB_02,01/06/2024,2024,6,mobile,Organic Search,2262,2218,2488,1.099911583,40,1672,936058,315.0334293,0.672025723,0.980548187
WEB_02,01/06/2024,2024,6,desktop,Organic Search,1694,1636,1890,1.115702479,18,1352,740390,603.6668156,0.715343915,0.965761511
WEB_02,01/06/2024,2024,6,desktop,Direct,340,326,392,1.152941176,4,236,155016,374.0855193,0.602040816,0.958823529
WEB_02,01/06/2024,2024,6,mobile,Direct,178,178,198,1.112359551,2,68,27490,451.4298328,0.343434343,1
WEB_02,01/06/2024,2024,6,desktop,Referral,80,68,222,2.775,338,162,101261,498.1201694,0.72972973,0.85
WEB_02,01/06/2024,2024,6,tablet,Organic Search,76,76,80,1.052631579,0,58,34920,348.4002169,0.725,1
WEB_02,01/06/2024,2024,6,mobile,Referral,16,14,32,2,0,28,13673,570.4175032,0.875,0.875
WEB_02,01/06/2024,2024,6,tablet,Direct,8,8,8,1,0,4,4637,359.8873089,0.5,1
WEB_02,01/06/2024,2024,6,mobile,Unassigned,6,6,8,1.333333333,0,4,1814,353.3093613,0.5,1
WEB_02,01/06/2024,2024,6,tablet,Referral,4,2,6,1.5,0,6,3247,274.1091135,1,0.5
WEB_02,01/06/2024,2024,6,desktop,Organic Social,2,2,2,1,0,1,216,349.9159817,0.5,1
WEB_02,01/06/2024,2024,6,mobile,Organic Social,2,2,2,1,0,1,216,417.0703871,0.5,1
WEB_02,01/07/2024,2024,7,mobile,Organic Search,2106,2064,2352,1.116809117,46,1310,776923,332.3134093,0.556972789,0.98005698
WEB_02,01/07/2024,2024,7,desktop,Organic Search,1492,1434,1702,1.14075067,12,1152,695650,529.40909,0.676850764,0.961126005
WEB_02,01/07/2024,2024,7,mobile,Referral,810,808,816,1.007407407,1598,800,157709,269.2893902,0.980392157,0.997530864
WEB_02,01/07/2024,2024,7,desktop,Direct,442,426,468,1.058823529,0,264,136930,261.669434,0.564102564,0.963800905
WEB_02,01/07/2024,2024,7,desktop,Referral,242,220,400,1.652892562,574,316,87926,618.344525,0.79,0.909090909
WEB_02,01/07/2024,2024,7,mobile,Direct,198,196,238,1.202020202,8,84,43330,376.6154907,0.352941176,0.98989899
WEB_02,01/07/2024,2024,7,tablet,Organic Search,74,70,76,1.027027027,0,40,38750,413.5453233,0.526315789,0.945945946
WEB_02,01/07/2024,2024,7,tablet,Referral,12,10,22,1.833333333,16,20,4536,491.5044042,0.909090909,0.833333333
